"","X","pubid","Title","Year","Kind","First.authored","Single.authored","PhD.publication","Including.PhD.supervisor","Open.access","cites"
"1",1,"Zph67rFs4hoC","Pressure to publish introduces large_language model risks",2024,"Peer-reviewed paper",0,0,0,0,1,0
"2",2,"LkGwnXOMwfcC","Plant trait and vegetation data along a 1314 m elevation gradient with fire history in Puna grasslands, Perú",2024,"Community database",0,0,0,0,1,1
"3",3,"kNdYIx-mwKoC","Deciphering probabilistic species interaction networks",2024,"Pre-print paper",0,0,0,1,1,0
"4",4,"_FxGoFyzp5QC","Effects of past and present microclimates on northern and southern plant species in a managed forest landscape",2023,"Peer-reviewed paper",0,0,0,0,1,1
"5",5,"UebtZRa9Y70C","Bootstrapping outperforms community_weighted approaches for estimating the shapes of phenotypic distributions",2023,"Peer-reviewed paper",0,0,0,0,1,12
"6",6,"2osOgNQ5qMEC","Designing a collective prototype of future (sub) tropical science",2023,"Pre-print paper",0,0,0,0,1,4
"7",7,"KlAtU1dfN6UC","Graph embedding and transfer learning can help predict potential species interaction networks despite data limitations",2023,"Peer-reviewed paper",1,0,1,1,1,6
"8",8,"Tyk-4Ss8FVUC","SpatialBoundaries. jl: Edge detection using spatial wombling",2023,"Peer-reviewed paper",1,0,1,1,1,0
"9",9,"zYLM7Y9cAGgC","Long_term spatially_replicated data show no physical cost to a benefactor species in a facilitative plant–plant interaction",2022,"Peer-reviewed paper",0,0,0,0,0,4
"10",10,"ufrVoPGSRksC","Food web reconstruction through phylogenetic transfer of low_rank network representation",2022,"Peer-reviewed paper",1,0,1,1,1,25
"11",11,"d1gkVwhDpl0C","SVD entropy reveals the high complexity of ecological networks",2021,"Peer-reviewed paper",1,0,1,1,1,35
"12",12,"u-x6o8ySG0sC","A roadmap towards predicting species interaction networks (across space and time)",2021,"Peer-reviewed paper",1,0,1,1,1,69
"13",13,"eQOLeE2rZwMC","Next_generation field courses: Integrating Open Science and online learning",2021,"Peer-reviewed paper",1,0,0,0,1,26
"14",14,"YsMSGLbcyi4C","From a crisis to an opportunity: Eight insights for doing science in the COVID_19 era and beyond",2021,"Peer-reviewed paper",0,0,0,0,1,11
"15",15,"IjCSPb-OGe4C","TRY plant trait database–enhanced coverage and open access",2020,"Community database",0,0,0,0,1,1461
